,platformId,gameId,champion,queue,season,timestamp,role,lane,status.status_code,status.message,matches,startIndex,endIndex,totalGames
9905,NA1,-2147483648,75.0,420.0,13.0,1549112040504.0,SOLO,TOP,,,,,,
9906,NA1,-2147483648,75.0,420.0,12.0,1547952391366.0,SOLO,TOP,,,,,,
9907,NA1,-2147483648,75.0,420.0,12.0,1547284463806.0,SOLO,TOP,,,,,,
9908,NA1,-2147483648,75.0,420.0,12.0,1547261726120.0,NONE,JUNGLE,,,,,,
9909,NA1,-2147483648,75.0,420.0,12.0,1547170977836.0,DUO,NONE,,,,,,
9910,NA1,-2147483648,75.0,420.0,12.0,1547168608788.0,SOLO,TOP,,,,,,
9911,NA1,-2147483648,75.0,420.0,12.0,1546686921636.0,SOLO,TOP,,,,,,
9912,NA1,-2147483648,75.0,420.0,12.0,1544572445463.0,SOLO,TOP,,,,,,
9913,NA1,-2147483648,75.0,420.0,13.0,1592798711747.0,SOLO,TOP,,,,,,
9914,NA1,-2147483648,75.0,420.0,13.0,1582855368743.0,DUO_CARRY,TOP,,,,,,
9915,NA1,-2147483648,75.0,420.0,13.0,1581998345023.0,SOLO,TOP,,,,,,
9916,NA1,-2147483648,75.0,420.0,13.0,1579479260714.0,SOLO,TOP,,,,,,
9917,NA1,-2147483648,75.0,420.0,13.0,1576995056927.0,SOLO,TOP,,,,,,
9918,NA1,-2147483648,75.0,420.0,13.0,1576560881003.0,DUO,NONE,,,,,,
9919,NA1,-2147483648,75.0,420.0,13.0,1575324644729.0,SOLO,TOP,,,,,,
9920,NA1,-2147483648,75.0,420.0,13.0,1574205657010.0,SOLO,TOP,,,,,,
9921,NA1,-2147483648,75.0,420.0,13.0,1574058167514.0,SOLO,TOP,,,,,,
9922,NA1,-2147483648,75.0,420.0,13.0,1572135906120.0,SOLO,TOP,,,,,,
9923,NA1,-2147483648,75.0,420.0,13.0,1556665122278.0,SOLO,TOP,,,,,,
9924,NA1,-2147483648,75.0,420.0,13.0,1555977525845.0,SOLO,TOP,,,,,,
9925,NA1,-2147483648,75.0,420.0,13.0,1555789532276.0,SOLO,TOP,,,,,,
9926,NA1,-2147483648,75.0,420.0,13.0,1555345502527.0,SOLO,TOP,,,,,,
9927,NA1,-2147483648,75.0,420.0,13.0,1555343290726.0,SOLO,TOP,,,,,,
9928,NA1,-2147483648,75.0,420.0,13.0,1555177946121.0,SOLO,TOP,,,,,,
9929,NA1,-2147483648,75.0,420.0,13.0,1555152693849.0,SOLO,TOP,,,,,,
9930,NA1,-2147483648,75.0,420.0,13.0,1555149617151.0,DUO,TOP,,,,,,
9931,NA1,-2147483648,75.0,420.0,13.0,1555111741398.0,DUO_CARRY,TOP,,,,,,
9932,NA1,-2147483648,75.0,420.0,13.0,1555109956394.0,NONE,JUNGLE,,,,,,
9933,NA1,-2147483648,75.0,420.0,13.0,1555094805599.0,SOLO,TOP,,,,,,
9934,NA1,-2147483648,75.0,420.0,13.0,1554998029468.0,SOLO,TOP,,,,,,
9935,NA1,-2147483648,75.0,420.0,13.0,1554994395862.0,SOLO,TOP,,,,,,
9936,NA1,-2147483648,75.0,420.0,13.0,1554987348656.0,SOLO,TOP,,,,,,
9937,NA1,-2147483648,75.0,420.0,13.0,1554985304607.0,SOLO,TOP,,,,,,
9938,NA1,-2147483648,75.0,420.0,13.0,1554976944313.0,SOLO,TOP,,,,,,
9939,NA1,-2147483648,75.0,420.0,13.0,1554975012611.0,SOLO,TOP,,,,,,
9940,NA1,-2147483648,75.0,420.0,13.0,1553383879617.0,SOLO,TOP,,,,,,
9941,NA1,-2147483648,75.0,420.0,13.0,1553038873334.0,SOLO,TOP,,,,,,
9942,NA1,-2147483648,75.0,420.0,13.0,1553036472735.0,SOLO,TOP,,,,,,
9943,NA1,-2147483648,75.0,420.0,13.0,1553034213635.0,SOLO,TOP,,,,,,
9944,NA1,-2147483648,75.0,420.0,13.0,1551945966747.0,NONE,JUNGLE,,,,,,
9945,NA1,-2147483648,75.0,420.0,13.0,1591719052798.0,DUO_SUPPORT,NONE,,,,,,
9946,NA1,-2147483648,75.0,420.0,13.0,1591715237373.0,SOLO,TOP,,,,,,
9947,NA1,-2147483648,75.0,420.0,13.0,1579910860003.0,SOLO,MID,,,,,,
9948,NA1,-2147483648,75.0,420.0,13.0,1563442369235.0,SOLO,TOP,,,,,,
9949,NA1,-2147483648,75.0,420.0,13.0,1563438357074.0,SOLO,TOP,,,,,,
9950,NA1,-2147483648,75.0,420.0,13.0,1569799794168.0,SOLO,TOP,,,,,,
9951,NA1,-2147483648,75.0,420.0,13.0,1568427208302.0,SOLO,TOP,,,,,,
9952,NA1,-2147483648,75.0,420.0,13.0,1551344426496.0,NONE,JUNGLE,,,,,,
9953,NA1,-2147483648,75.0,420.0,13.0,1548477985851.0,NONE,JUNGLE,,,,,,
9954,NA1,-2147483648,75.0,420.0,12.0,1547972061004.0,NONE,JUNGLE,,,,,,
9955,NA1,-2147483648,75.0,420.0,12.0,1547803654499.0,DUO,NONE,,,,,,
9956,NA1,-2147483648,75.0,420.0,12.0,1547803002739.0,DUO,NONE,,,,,,
9957,NA1,-2147483648,75.0,420.0,12.0,1547802256340.0,DUO,NONE,,,,,,
9958,NA1,-2147483648,75.0,420.0,12.0,1544263224291.0,DUO_CARRY,TOP,,,,,,
9959,NA1,-2147483648,75.0,420.0,13.0,1594139061004.0,SOLO,TOP,,,,,,
9960,NA1,-2147483648,75.0,420.0,13.0,1594137255595.0,DUO,NONE,,,,,,
9961,NA1,-2147483648,75.0,420.0,13.0,1579334344596.0,SOLO,TOP,,,,,,
9962,NA1,-2147483648,75.0,420.0,13.0,1579333248063.0,DUO,NONE,,,,,,
9963,NA1,-2147483648,75.0,420.0,13.0,1578851561686.0,SOLO,MID,,,,,,
9964,NA1,-2147483648,75.0,420.0,13.0,1576089233254.0,DUO_SUPPORT,NONE,,,,,,
9965,NA1,-2147483648,75.0,420.0,13.0,1569843124280.0,SOLO,TOP,,,,,,
9966,NA1,-2147483648,75.0,420.0,13.0,1567903076387.0,NONE,JUNGLE,,,,,,
9967,NA1,-2147483648,75.0,420.0,13.0,1567896953239.0,SOLO,TOP,,,,,,
9968,NA1,-2147483648,75.0,420.0,13.0,1567896323376.0,DUO,NONE,,,,,,
9969,NA1,-2147483648,75.0,420.0,13.0,1567893568979.0,SOLO,TOP,,,,,,
9970,NA1,-2147483648,75.0,420.0,13.0,1567891417663.0,SOLO,TOP,,,,,,
9971,NA1,-2147483648,75.0,420.0,12.0,1548051323908.0,NONE,JUNGLE,,,,,,
9972,NA1,-2147483648,75.0,420.0,12.0,1547167334084.0,NONE,JUNGLE,,,,,,
9973,NA1,-2147483648,75.0,420.0,12.0,1546318421033.0,SOLO,TOP,,,,,,
9974,NA1,-2147483648,75.0,420.0,13.0,1555794933345.0,SOLO,TOP,,,,,,
9975,NA1,-2147483648,75.0,420.0,13.0,1555558571658.0,SOLO,TOP,,,,,,
9976,NA1,-2147483648,75.0,420.0,13.0,1585027226935.0,SOLO,TOP,,,,,,
9977,NA1,-2147483648,75.0,420.0,13.0,1583575676119.0,SOLO,TOP,,,,,,
9978,NA1,-2147483648,75.0,420.0,13.0,1583211445775.0,SOLO,TOP,,,,,,
9979,NA1,-2147483648,75.0,420.0,13.0,1583148535708.0,SOLO,TOP,,,,,,
9980,NA1,-2147483648,75.0,420.0,13.0,1582973871708.0,SOLO,TOP,,,,,,
9981,NA1,-2147483648,75.0,420.0,13.0,1582622797190.0,SOLO,TOP,,,,,,
9982,NA1,-2147483648,75.0,420.0,13.0,1580997462522.0,DUO,TOP,,,,,,
9983,NA1,-2147483648,75.0,420.0,13.0,1580349123969.0,DUO_SUPPORT,TOP,,,,,,
9984,NA1,-2147483648,75.0,420.0,13.0,1580256319436.0,SOLO,TOP,,,,,,
9985,NA1,-2147483648,75.0,420.0,13.0,1579714173987.0,SOLO,MID,,,,,,
9986,NA1,-2147483648,75.0,420.0,13.0,1579523573148.0,DUO,MID,,,,,,
9987,NA1,-2147483648,75.0,420.0,13.0,1579070734187.0,SOLO,TOP,,,,,,
9988,NA1,-2147483648,75.0,420.0,13.0,1578997537537.0,SOLO,TOP,,,,,,
9989,NA1,-2147483648,75.0,420.0,13.0,1571883976412.0,SOLO,TOP,,,,,,
