,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2638,4aaaa381-47ad-4efd-8fd0-05576be9e7a6,RANKED_SOLO_5x5,SILVER,II,oOla9SldD17rZatrqfCwdO_BhD80lXqbPsqbsrmzAsLMGlZK,Aburneraccount,11.0,63.0,66.0,False,False,False,False
2639,81b6b30f-242e-490e-859f-fa16ba837c2b,RANKED_SOLO_5x5,SILVER,II,DcSxUOLx0XAjmE9VmtgbI1cE0YNOh-XtK4JsrTj_z7k70x_s,The Eggington,89.0,22.0,17.0,False,False,False,False
2640,d949fdf5-543f-4880-ab68-90e2125aa2df,RANKED_SOLO_5x5,SILVER,II,WAGk4MyoVkWAMAHJQBQDsleDshbaqYOZ8sa6R3JCiDzcyV1w,LouieVuitton47,20.0,219.0,221.0,False,False,False,False
2641,cfcdf1f6-2662-4b6d-869c-883512dd7121,RANKED_SOLO_5x5,SILVER,II,nE-e0G5aulPC0A3ni8ti3m1ei4PZfl64oPPsKRW3k8Lr03r8,roilee1101,2.0,59.0,59.0,False,False,False,False
2642,be8ca83e-0e15-4e06-995b-27f2c13e99fa,RANKED_SOLO_5x5,SILVER,II,q0mj9oWvWIaylppk0YQcUz-5smkjBqYAcsEXqzS88sNenE4Q,Clementin3,90.0,23.0,19.0,False,False,False,False
2643,30d28cff-c1b6-48cf-b1e3-63e0ccd02b29,RANKED_SOLO_5x5,SILVER,II,33-sTPOlO4i-gA-4spged7bKgRqZce9-2wwxokDQlQUraw4H,MCDOINK558,55.0,140.0,140.0,False,False,False,False
2644,d14bf92e-f8c0-47b8-8344-79ed46ba2401,RANKED_SOLO_5x5,SILVER,II,h2EAavHWEGtb7JLI5TvelqrtYLbmMgoeD60xozyL6VpnX7aV,DezeWongs,37.0,80.0,89.0,False,False,False,False
2645,f546359a-e2c9-4a62-9e58-4bad40bdc6d4,RANKED_SOLO_5x5,SILVER,II,Hplt5kOjkk-M5Htr-NyHSH_NuvCarPaklvnJP_SaXaCXMGsY,TwoShot Espresso,0.0,18.0,32.0,False,False,False,False
2646,ebe29115-6a35-4721-988c-4832683ad02e,RANKED_SOLO_5x5,SILVER,II,O2o_MX0Zbqfj76Lg2mBRW7MmzmOqikUxw2KvOOhtjeXJMmpw,Emissa,29.0,79.0,72.0,False,False,False,False
2647,4c7756d0-1355-4e73-9c63-e8c74d55d8aa,RANKED_SOLO_5x5,SILVER,II,WMkZbZXi9APN_1mq_9QAsWjz6rw2TLbATzvuAAWtwUgQtLnU,Iam6willyoubemy9,54.0,42.0,37.0,False,False,False,False
2648,0ea2ab42-1bd1-4968-9ac5-41a0ec08d303,RANKED_SOLO_5x5,SILVER,II,6lXltajKiOjucFjGSfRiGXiGkxnWGFImV4iSBcBgia3tTsoS,BardFuFuu,84.0,33.0,26.0,False,False,False,False
2649,1094bf45-5966-4d62-b8d0-08db09806c6a,RANKED_SOLO_5x5,SILVER,II,_KHTiG3uOhr9ncL_eoXL2GfNkRXn4raXp2szrlFLviKdImX9,BakaSushi,20.0,21.0,25.0,False,False,False,False
2650,e9196121-a6cd-46cd-a3db-7726ca3785ba,RANKED_SOLO_5x5,SILVER,II,yjx3MRrfOaC70sdsUihr4358Ot0fmE3TJXg5UMErRd2HX6WX,YSG Bunni,100.0,190.0,188.0,False,False,False,False
2651,5d824aac-f442-4c55-804f-27cb586c5416,RANKED_SOLO_5x5,SILVER,II,AsCEseHUxz60Fnd8DR6_NhISJMNLboBwPFDGT1Y_GRieml-4,tower is MIA,71.0,56.0,47.0,False,False,False,False
2652,906f123d-8b7b-42b3-9385-18243d1cfdca,RANKED_SOLO_5x5,SILVER,II,gYVjQMy49t2Am9Idy1QobuLf0ssuZDwrHdRNZoaAOMiPjKvI,KevIsaac,82.0,51.0,28.0,False,False,False,False
2653,1402677e-85e9-4e7b-9179-2a435d6a43e7,RANKED_SOLO_5x5,SILVER,II,WwxFac3WerRwqbZkm5daGEk-eOZqYwr1H1-R9xQ_1-2BfdSq,trishula uwu,47.0,117.0,92.0,False,False,False,False
2654,7dc3176e-0c8e-4035-9184-6401fd770f9c,RANKED_SOLO_5x5,SILVER,II,5fRwmW_It3Rl3uSzcL38pKbsxkfZ_uEFhihBwdjP9_WVPSKx,D3a7HN073,20.0,79.0,65.0,False,False,False,False
2655,01157068-3042-4ad7-b155-86f41edd63ba,RANKED_SOLO_5x5,SILVER,II,V5ogS52TETutChD3F9Vnua4Js_JGnruwfkiMw5gte0p1DEUP,RNG Letmeshow,18.0,81.0,91.0,False,False,False,False
2656,57cda3ec-b490-4f8f-aa6d-63cb9e495a12,RANKED_SOLO_5x5,SILVER,II,LLddYoXFLZ5vL9O0o-fHdINYmN-a7iw6jnbjwVNJ7_Psx8_1,CarrotGeneral,5.0,125.0,111.0,False,False,False,False
2657,eca0b386-5703-4d58-bb51-665cf3dfe55e,RANKED_SOLO_5x5,SILVER,II,D3-dRVbTSMYBmFBc1KUQq_ECpEU9pERHlFSLLmljpHEzJ6KV,Novacalc,40.0,26.0,22.0,False,False,False,False
2658,400aa455-87a7-45c0-b918-0cbe1a5c1876,RANKED_SOLO_5x5,SILVER,II,_-v65UZhJmqkx-RrEtbHQjfOcvV8rLJgEhBewNrxuGMNA4p5,Haiao,36.0,25.0,28.0,False,False,False,False
